iter	RMSE
0	0.4829731134
1	0.466108133
2	0.4496259236
3	0.4357926338
4	0.4206684886
5	0.4052481407
6	0.3903917918
7	0.3771884375
8	0.3637975917
9	0.3513764443
10	0.3396219866
11	0.3276203952
12	0.3157589607
13	0.3047883501
14	0.29424296
15	0.2842376852
16	0.2744592426
17	0.2646993764
18	0.2555615623
19	0.2462928512
20	0.2373243783
21	0.2291971276
22	0.2208967348
23	0.2128402612
24	0.2059785414
25	0.1990347838
26	0.1926929616
27	0.1860251057
28	0.1799539101
29	0.1741585376
30	0.1685739108
31	0.162906387
32	0.1573305693
33	0.1520341753
34	0.147157921
35	0.1425688775
36	0.137683542
37	0.1331811927
38	0.1288772289
39	0.124652115
40	0.1209885204
41	0.1168332783
42	0.1135650087
43	0.1100112386
44	0.1065858247
45	0.1034616053
46	0.1003992711
47	0.09747685689
48	0.09486016605
49	0.09206896261
50	0.08931259264
51	0.08697399418
52	0.08464075193
53	0.08219657914
54	0.0797941019
55	0.07761812571
56	0.07553999425
57	0.07341310434
58	0.07165061509
59	0.07010832502
60	0.06840818483
61	0.06650928127
62	0.06500102245
63	0.06334512635
64	0.06164049419
65	0.06025768895
66	0.05896620773
67	0.05771244993
68	0.0566250864
69	0.05543894203
70	0.05432293959
71	0.05309549704
72	0.05176411892
73	0.050883956
74	0.04976779502
75	0.04868297093
76	0.04762886424
77	0.04650920247
78	0.04553225898
79	0.04456325022
80	0.04374391995
81	0.04300930028
82	0.04220481418
83	0.04133912636
84	0.04054353419
85	0.0398855865
86	0.03912107517
87	0.03852359636
88	0.03785336035
89	0.03723562349
90	0.03664002123
91	0.03601776485
92	0.03540772303
93	0.03488032307
94	0.03422902256
95	0.03357429227
96	0.03304585335
97	0.03260935796
98	0.03210733019
99	0.03160533239
100	0.03110053563
101	0.03064213482
102	0.03013741902
103	0.0298758771
104	0.0293691512
105	0.02892806385
106	0.02848215967
107	0.02823331854
108	0.02792441763
109	0.02748787349
110	0.02703060011
111	0.02660707716
112	0.02632004975
113	0.02597184571
114	0.02565667657
115	0.02526599865
116	0.02492648615
117	0.02457186353
118	0.02420752996
119	0.02390316237
120	0.02356098997
121	0.02335958479
122	0.02307244862
123	0.02276995475
124	0.02266167421
125	0.02238113584
126	0.02208657227
127	0.02177743777
128	0.02148455883
129	0.02119912694
130	0.02092250946
131	0.02077710289
132	0.02068070114
133	0.02049414856
134	0.0203727932
