iter	Passed	Remaining
438	1330	1700
439	1332	1696
440	1335	1692
441	1336	1687
442	1338	1683
443	1340	1678
444	1343	1675
445	1345	1671
446	1347	1667
447	1349	1662
448	1351	1658
449	1353	1654
450	1355	1649
451	1357	1645
452	1360	1642
453	1361	1637
454	1363	1633
455	1365	1628
456	1367	1625
457	1369	1620
458	1371	1616
459	1373	1612
460	1375	1608
461	1377	1604
462	1379	1600
463	1381	1595
464	1383	1591
465	1385	1587
466	1387	1583
467	1389	1579
468	1391	1575
469	1394	1572
470	1395	1567
471	1397	1563
472	1399	1559
473	1401	1555
474	1403	1551
475	1406	1548
476	1409	1545
477	1411	1541
478	1414	1538
479	1416	1534
480	1417	1529
481	1421	1527
482	1424	1524
483	1427	1521
484	1428	1517
485	1430	1512
486	1432	1509
487	1435	1505
488	1439	1503
489	1441	1500
490	1444	1497
491	1446	1493
492	1448	1489
493	1450	1485
494	1456	1485
495	1458	1481
496	1461	1479
497	1463	1474
498	1464	1470
499	1468	1468
500	1472	1466
501	1474	1463
502	1477	1459
503	1479	1455
504	1481	1451
505	1486	1450
506	1488	1447
507	1491	1444
508	1494	1441
509	1495	1437
510	1497	1433
511	1503	1432
512	1505	1429
513	1508	1426
514	1510	1422
515	1512	1418
516	1515	1415
517	1519	1413
518	1522	1411
519	1525	1407
520	1527	1404
521	1528	1400
522	1534	1399
523	1537	1397
524	1541	1394
525	1543	1390
526	1544	1386
527	1551	1386
528	1553	1382
529	1556	1379
530	1557	1375
531	1559	1372
532	1563	1370
533	1567	1367
534	1569	1364
535	1572	1360
536	1573	1357
537	1575	1353
538	1582	1353
539	1583	1349
540	1586	1346
541	1588	1342
542	1590	1338
543	1592	1334
544	1596	1332
545	1600	1330
546	1602	1327
547	1605	1323
548	1608	1321
549	1612	1319
550	1614	1315
551	1617	1312
552	1619	1309
553	1621	1305
554	1623	1301
555	1627	1299
556	1629	1296
557	1631	1292
558	1633	1288
559	1635	1284
560	1637	1281
561	1639	1277
562	1643	1275
563	1645	1272
564	1648	1269
565	1650	1265
566	1652	1261
567	1653	1257
568	1659	1256
569	1661	1253
570	1664	1250
571	1665	1246
572	1667	1242
573	1669	1238
574	1673	1236
575	1675	1233
576	1677	1230
577	1680	1227
578	1683	1223
579	1685	1220
580	1690	1218
581	1692	1215
582	1694	1212
583	1697	1208
584	1699	1205
585	1702	1202
586	1705	1200
587	1708	1196
588	1711	1194
589	1713	1190
590	1716	1187
591	1721	1186
592	1723	1183
593	1726	1180
594	1728	1176
595	1730	1172
596	1732	1169
597	1736	1167
598	1738	1164
599	1741	1161
600	1743	1157
601	1745	1154
602	1747	1150
603	1752	1148
604	1754	1145
605	1756	1142
606	1759	1139
607	1761	1135
608	1763	1132
609	1767	1130
610	1769	1126
611	1772	1123
612	1773	1119
613	1775	1116
614	1777	1112
615	1782	1111
616	1785	1108
617	1788	1105
618	1790	1101
619	1792	1098
620	1794	1094
621	1798	1093
622	1801	1090
623	1803	1086
624	1804	1082
625	1807	1079
626	1809	1076
627	1814	1074
628	1815	1071
629	1817	1067
630	1819	1064
631	1821	1060
632	1823	1057
633	1826	1054
634	1830	1051
635	1832	1048
636	1834	1045
637	1835	1041
638	1837	1038
639	1839	1034
640	1842	1031
641	1846	1029
642	1848	1026
643	1851	1023
644	1853	1020
645	1855	1016
646	1858	1013
647	1863	1012
648	1865	1008
649	1868	1006
650	1870	1002
651	1874	1000
652	1879	998
653	1881	995
654	1884	992
655	1886	989
656	1888	985
657	1894	984
658	1896	981
659	1899	978
660	1901	975
661	1905	972
662	1909	970
663	1912	967
664	1915	964
665	1918	962
666	1931	964
667	1937	963
668	1941	960
669	1944	957
670	1946	954
671	1948	951
672	1954	949
673	1960	948
674	1964	945
675	1966	942
676	1978	943
677	1981	941
678	1990	940
679	1996	939
680	2008	940
681	2010	937
682	2016	935
683	2021	933
684	2023	930
685	2026	927
686	2034	926
687	2037	923
688	2040	921
689	2043	918
690	2047	915
691	2050	912
692	2052	909
693	2055	906
694	2057	902
695	2059	899
696	2063	897
697	2066	893
698	2068	890
699	2071	887
700	2074	884
701	2078	882
702	2080	879
703	2082	875
704	2084	872
705	2086	868
706	2088	865
707	2090	862
708	2093	859
709	2095	856
710	2097	852
711	2099	849
712	2104	846
713	2105	843
714	2107	840
715	2109	836
716	2111	833
717	2113	830
718	2115	826
719	2118	823
720	2120	820
721	2123	817
722	2125	814
723	2126	810
724	2128	807
725	2130	804
726	2133	801
727	2135	797
728	2137	794
729	2139	791
730	2141	787
731	2142	784
732	2144	781
733	2148	778
734	2150	775
735	2152	771
736	2153	768
737	2155	765
738	2157	761
739	2159	758
740	2160	755
741	2163	752
742	2165	748
743	2167	745
744	2169	742
745	2170	739
746	2172	735
747	2174	732
748	2176	729
749	2178	726
750	2180	722
751	2182	719
752	2183	716
753	2185	713
754	2187	709
755	2189	706
756	2190	703
757	2192	699
758	2194	696
759	2196	693
760	2198	690
761	2200	687
762	2202	684
763	2204	680
764	2205	677
765	2207	674
766	2210	671
767	2212	668
768	2213	665
769	2215	661
770	2217	658
771	2219	655
772	2220	652
773	2222	649
774	2224	645
775	2226	642
776	2228	639
777	2230	636
778	2231	633
779	2233	630
780	2235	626
781	2237	623
782	2239	620
783	2241	617
784	2243	614
785	2245	611
786	2247	608
787	2249	605
788	2251	602
789	2253	598
790	2254	595
791	2257	592
792	2259	589
793	2260	586
794	2262	583
795	2264	580
796	2266	577
797	2268	574
798	2269	571
799	2272	568
800	2274	564
801	2275	561
802	2277	558
803	2279	555
804	2281	552
805	2283	549
806	2285	546
807	2286	543
808	2289	540
809	2290	537
810	2292	534
811	2294	531
812	2296	528
813	2298	525
814	2300	522
815	2301	519
816	2304	516
817	2306	513
818	2307	510
819	2310	507
820	2312	504
821	2314	501
822	2316	498
823	2319	495
824	2321	492
825	2323	489
826	2325	486
827	2326	483
828	2328	480
829	2330	477
830	2332	474
831	2334	471
832	2336	468
833	2338	465
834	2340	462
835	2341	459
836	2343	456
837	2345	453
838	2347	450
839	2349	447
840	2351	444
841	2353	441
842	2355	438
843	2357	435
844	2359	432
845	2360	429
846	2362	426
847	2364	423
848	2366	420
849	2369	418
850	2371	415
851	2373	412
852	2375	409
853	2377	406
854	2378	403
855	2381	400
856	2384	397
857	2386	395
858	2388	392
859	2390	389
860	2392	386
861	2394	383
862	2398	380
863	2400	377
864	2402	374
865	2403	371
866	2405	369
867	2407	366
868	2408	363
869	2410	360
870	2413	357
871	2415	354
872	2417	351
873	2419	348
874	2420	345
875	2422	342
876	2424	339
877	2426	337
878	2428	334
879	2430	331
880	2432	328
881	2433	325
882	2435	322
883	2437	319
884	2439	316
885	2441	314
886	2444	311
887	2446	308
888	2448	305
889	2450	302
890	2452	300
891	2454	297
892	2456	294
893	2458	291
894	2460	288
895	2462	285
896	2464	282
897	2465	280
898	2467	277
899	2469	274
900	2471	271
901	2474	268
902	2476	266
903	2478	263
904	2480	260
905	2482	257
906	2484	254
907	2486	251
908	2488	249
909	2490	246
910	2492	243
911	2495	240
912	2497	237
913	2499	235
914	2501	232
915	2502	229
916	2504	226
917	2507	223
918	2509	221
919	2511	218
920	2513	215
921	2515	212
922	2517	210
923	2519	207
924	2521	204
925	2523	201
926	2526	198
927	2528	196
928	2529	193
929	2531	190
930	2533	187
931	2535	184
932	2538	182
933	2540	179
934	2542	176
935	2545	174
936	2547	171
937	2548	168
938	2550	165
939	2553	162
940	2555	160
941	2557	157
942	2559	154
943	2561	151
944	2563	149
945	2564	146
946	2566	143
947	2569	140
948	2571	138
949	2573	135
950	2575	132
951	2577	129
952	2579	127
953	2580	124
954	2582	121
955	2586	119
956	2588	116
957	2590	113
958	2592	110
959	2594	108
960	2595	105
961	2597	102
962	2600	99
963	2602	97
964	2604	94
965	2606	91
966	2607	88
967	2609	86
968	2611	83
969	2613	80
970	2615	78
971	2617	75
972	2619	72
973	2621	69
974	2622	67
975	2624	64
976	2626	61
977	2628	59
978	2630	56
979	2632	53
980	2634	51
981	2636	48
982	2637	45
983	2639	42
984	2641	40
985	2643	37
986	2645	34
987	2647	32
988	2649	29
989	2651	26
990	2653	24
991	2655	21
992	2657	18
993	2659	16
994	2660	13
995	2663	10
996	2665	8
997	2666	5
998	2668	2
999	2670	0
